Category,Parameter,Value
,,
CONFIGURATION,,
,Initial Capital,"$10,000.00"
,Trading Pairs,"BTC/USD, ETH/USD"
,Timeframe,"1h, 5m (multi-timeframe)"
,Strategy Mix,EMA Crossover + RSI Filter + ATR Risk
,,
COST MODEL,,
,Fee (bps),5.0
,Fee (%),0.050%
,Slippage (bps),2.0
,Slippage (%),0.020%
,Fee Model,Kraken maker/taker (both entry + exit)
,Slippage Model,Conservative estimate (both entry + exit)
,,
BACKTEST WINDOW,,
,Start Date,2025-10-05
,End Date,2025-10-23
,Duration (days),18
,Duration (months),1
,,
RISK CONTROLS,,
,Stop Loss,ATR-based (2% typical)
,Take Profit,ATR-based (4% target)
,Position Sizing,1.5% risk per trade
,Max Concurrent Positions,1-2
,Leverage,None (spot trading only)
,,
DATA SOURCES,,
,Source Type,csv
,Exchange,Kraken
,Data Quality,Real OHLCV
,Total Trades,18
,,
12-MONTH SUMMARY,,
,Total Net P&L,$+3.29
,Total Return (%),+0.03%
,Win Rate (%),33.3%
,Profit Factor,1.21
,Max Drawdown ($),$0.00
,Max Drawdown (%),0.00%
,Sharpe Ratio,0.00
,Sortino Ratio,0.00
,,
TRADE STATISTICS,,
,Total Trades,18
,Winning Trades,6
,Losing Trades,12
,Avg Win,$3.10
,Avg Loss,$1.27
,Gross Profit,$18.58
,Gross Loss,$15.29
,,
COST BREAKDOWN,,
,Total Fees,$1.35
,Total Slippage,$0.54
,Total Costs,$1.89
,Costs as % of Capital,0.02%
